date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,symbol
2024-05-31,164.3,178.77,163.05,172.5,172.5,542413794.0,0.0,GOOGL
2024-04-30,150.69,174.71,149.6,162.78,162.78,657659985.0,0.0,GOOGL
2024-03-28,138.43,152.256,130.665,150.93,150.93,671379553.0,0.0,GOOGL
2024-02-29,142.12,149.44,135.41,138.46,138.46,647506998.0,0.0,GOOGL
2024-01-31,138.55,153.78,135.15,140.1,140.1,580941276.0,0.0,GOOGL
2023-12-29,131.86,142.68,127.9,139.69,139.69,619214883.0,0.0,GOOGL
2023-11-30,124.07,139.42,123.715,132.53,132.53,535336827.0,0.0,GOOGL
2023-10-31,131.21,141.22,120.2057,124.08,124.08,680762930.0,0.0,GOOGL
2023-09-29,137.455,139.16,127.22,130.86,130.86,477625238.0,0.0,GOOGL
2023-08-31,130.775,138.0,126.3824,136.17,136.17,593521002.0,0.0,GOOGL
2023-07-31,119.24,133.74,115.35,132.72,132.72,707114432.0,0.0,GOOGL
2023-06-30,122.815,129.04,116.1,119.7,119.7,656884438.0,0.0,GOOGL
2023-05-31,106.84,126.43,103.71,122.87,122.87,820529683.0,0.0,GOOGL
2023-04-28,102.39,109.17,101.93,107.34,107.34,603728992.0,0.0,GOOGL
2023-03-31,89.98,106.59,89.42,103.73,103.73,860049034.0,0.0,GOOGL
2023-02-28,98.71,108.18,88.575,90.06,90.06,952709694.0,0.0,GOOGL
2023-01-31,89.585,100.32,84.86,98.84,98.84,672897542.0,0.0,GOOGL
2022-12-30,101.02,102.25,85.94,88.23,88.23,602717061.0,0.0,GOOGL
2022-11-30,95.45,101.04,83.34,100.99,100.99,716537649.0,0.0,GOOGL
2022-10-31,96.76,104.82,91.8,94.51,94.51,681653109.0,0.0,GOOGL
2022-09-30,108.28,111.62,95.56,95.65,95.65,612908183.0,0.0,GOOGL
2022-08-31,115.3,122.43,107.8,108.22,108.22,515791070.0,0.0,GOOGL
2022-07-29,2158.66,2393.7,104.07,116.32,116.32,428144985.0,0.0,GOOGL
2022-06-30,2297.1,2386.94,2100.92,2179.26,108.963,38543689.0,0.0,GOOGL
2022-05-31,2268.1,2457.09,2037.6936,2275.24,113.762,42514648.0,0.0,GOOGL
